id,central_requirement,foreign_id_grades
221,Eleven läser olika texter med flyt och visar grundläggande läsförståelse,1-1-3
222,Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.,1-1-3
223,Eleven för enkla resonemang om likheter och skillnader i skriftspråk mellan modersmålet och svenska,1-1-3
224,"Dessutom jämför och översätter eleven ord, begrepp och fraser mellan modersmålet och svenska på ett i huvudsak fungerande sätt.",1-1-3
225,"Eleven beskriver och resonerar på ett enkelt sätt om traditioner, kulturella företeelser och samhällsfrågor med anknytning till områden där modersmålet talas",1-1-3
226,"Eleven gör då enkla jämförelser med förhållanden i Sverige, även utifrån egna erfarenheter eller kunskaper.",1-1-3
227,"Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen-Betygskriterier för slutet av årskurs 6, inom ramen för finska som förstaspråk",1-13-28
228,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.-Betygskriterier för slutet av årskurs 6, inom ramen för finska som förstaspråk",1-13-28
229,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-13-28
230,"Eleven följer grundläggande regler för stavning, meningsbyggnad och ordböjning med viss säkerhet.",1-13-28
231,"Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse-Betygskriterier för slutet av årskurs 6, inom ramen för finska som förstaspråk",1-13-28
232,"Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.-Betygskriterier för slutet av årskurs 6, inom ramen för finska som förstaspråk",1-13-28
233,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör sverigefinnar.",1-13-28
234,"Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna-Betygskriterier för slutet av årskurs 9, inom ramen för finska som förstaspråk",1-13-29
235,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.-Betygskriterier för slutet av årskurs 9, inom ramen för finska som förstaspråk",1-13-29
236,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-13-29
237,"Eleven följer grundläggande regler för språkriktighet med viss säkerhet.-Betygskriterier för slutet av årskurs 9, inom ramen för finska som förstaspråk",1-13-29
238,"Eleven läser olika texter med flyt och visar grundläggande läsförståelse-Betygskriterier för slutet av årskurs 9, inom ramen för finska som förstaspråk",1-13-29
239,"Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.-Betygskriterier för slutet av årskurs 9, inom ramen för finska som förstaspråk",1-13-29
240,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör sverigefinnar.",1-13-29
241,"Eleven visar grundläggande kunskaper om finskans ursprung, utveckling och språkets ställning i Sverige.",1-13-29
242,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för finska som andraspråk",1-13-30
243,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för finska som andraspråk",1-13-30
244,"Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 6, inom ramen för finska som andraspråk",1-13-30
245,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för finska som andraspråk",1-13-30
246,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.-Betygskriterier för slutet av årskurs 6, inom ramen för finska som andraspråk",1-13-30
247,"I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för finska som andraspråk",1-13-30
248,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 6, inom ramen för finska som andraspråk",1-13-30
249,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör sverigefinnar.-Betygskriterier för slutet av årskurs 6, inom ramen för finska som andraspråk",1-13-30
250,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
251,"Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
252,"Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
253,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
254,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
255,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
256,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
257,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör sverigefinnar.-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
258,"Eleven visar grundläggande kunskaper om finskans ursprung, utveckling och språkets ställning i Sverige.-Betygskriterier för slutet av årskurs 9, inom ramen för finska som andraspråk",1-13-31
259,"Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som förstaspråk",1-14-38
260,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som förstaspråk",1-14-38
261,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som förstaspråk",1-14-38
262,"Eleven följer grundläggande regler för stavning, meningsbyggnad och ordböjning med viss säkerhet.-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som förstaspråk",1-14-38
263,"Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som förstaspråk",1-14-38
264,"Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som förstaspråk",1-14-38
265,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör judar.",1-14-38
266,"Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som förstaspråk",1-14-39
267,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som förstaspråk",1-14-39
268,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som förstaspråk",1-14-39
269,"Eleven följer grundläggande regler för språkriktighet med viss säkerhet.-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som förstaspråk",1-14-39
270,"Eleven läser olika texter med flyt och visar grundläggande läsförståelse-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som förstaspråk",1-14-39
271,"Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som förstaspråk",1-14-39
272,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör judar.",1-14-39
273,"Eleven visar grundläggande kunskaper om jiddischens ursprung, utveckling och språkets ställning i Sverige.",1-14-39
274,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som andraspråk",1-14-40
275,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som andraspråk",1-14-40
276,"Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som andraspråk",1-14-40
277,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som andraspråk",1-14-40
278,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som andraspråk",1-14-40
279,"I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som andraspråk",1-14-40
280,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som andraspråk",1-14-40
281,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör judar.-Betygskriterier för slutet av årskurs 6, inom ramen för jiddisch som andraspråk",1-14-40
282,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
283,"Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
284,"Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
285,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
286,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
287,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
288,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
289,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör judar.-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
290,"Eleven visar grundläggande kunskaper om jiddischens ursprung, utveckling och språkets ställning i Sverige.-Betygskriterier för slutet av årskurs 9, inom ramen för jiddisch som andraspråk",1-14-41
291,"Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som förstaspråk",1-15-48
292,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som förstaspråk",1-15-48
293,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som förstaspråk",1-15-48
294,"Eleven följer grundläggande regler för stavning, meningsbyggnad och ordböjning med viss säkerhet.-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som förstaspråk",1-15-48
295,"Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som förstaspråk",1-15-48
296,"Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som förstaspråk",1-15-48
297,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör tornedalingar och andra meänkielitalande.",1-15-48
298,"Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som förstaspråk",1-15-49
299,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som förstaspråk",1-15-49
300,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som förstaspråk",1-15-49
301,"Eleven följer grundläggande regler för språkriktighet med viss säkerhet.-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som förstaspråk",1-15-49
302,"Eleven läser olika texter med flyt och visar grundläggande läsförståelse-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som förstaspråk",1-15-49
303,"Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som förstaspråk",1-15-49
304,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör tornedalingar och andra meänkielitalande.",1-15-49
305,"Eleven visar grundläggande kunskaper om meänkielins ursprung, utveckling och språkets ställning i Sverige.",1-15-49
306,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som andraspråk",1-15-50
307,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som andraspråk",1-15-50
308,"Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som andraspråk",1-15-50
309,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som andraspråk",1-15-50
310,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som andraspråk",1-15-50
311,"I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som andraspråk",1-15-50
312,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som andraspråk",1-15-50
313,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör tornedalingar och andra meänkielitalande.-Betygskriterier för slutet av årskurs 6, inom ramen för meänkieli som andraspråk",1-15-50
314,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
315,"Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
316,"Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
317,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
318,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
319,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
320,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
321,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör tornedalingar och andra meänkielitalande.-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
322,"Eleven visar grundläggande kunskaper om meänkielins ursprung, utveckling och språkets ställning i Sverige.-Betygskriterier för slutet av årskurs 9, inom ramen för meänkieli som andraspråk",1-15-51
323,"Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen-Betygskriterier för slutet av årskurs 6, inom ramen för romani chib som förstaspråk",1-16-58
324,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.-Betygskriterier för slutet av årskurs 6, inom ramen för romani chib som förstaspråk",1-16-58
325,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation-Betygskriterier för slutet av årskurs 6, inom ramen för romani chib som förstaspråk",1-16-58
326,"Eleven följer grundläggande regler för stavning, meningsbyggnad och ordböjning med viss säkerhet.-Betygskriterier för slutet av årskurs 6, inom ramen för romani chib som förstaspråk",1-16-58
327,"Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse-Betygskriterier för slutet av årskurs 6, inom ramen för romani chib som förstaspråk",1-16-58
328,"Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.-Betygskriterier för slutet av årskurs 6, inom ramen för romani chib som förstaspråk",1-16-58
329,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör romer.",1-16-58
330,"Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna-Betygskriterier för slutet av årskurs 9, inom ramen för romani chib som förstaspråk",1-16-59
331,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.-Betygskriterier för slutet av årskurs 9, inom ramen för romani chib som förstaspråk",1-16-59
332,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang-Betygskriterier för slutet av årskurs 9, inom ramen för romani chib som förstaspråk",1-16-59
333,"Eleven följer grundläggande regler för språkriktighet med viss säkerhet.-Betygskriterier för slutet av årskurs 9, inom ramen för romani chib som förstaspråk",1-16-59
334,"Eleven läser olika texter med flyt och visar grundläggande läsförståelse-Betygskriterier för slutet av årskurs 9, inom ramen för romani chib som förstaspråk",1-16-59
335,"Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.-Betygskriterier för slutet av årskurs 9, inom ramen för romani chib som förstaspråk",1-16-59
336,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör romer.",1-16-59
337,"Eleven visar grundläggande kunskaper om romani chibs ursprung, utveckling och språkets ställning i Sverige.",1-16-59
338,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för romani som andraspråk",1-16-60
339,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 6, inom ramen för romani som andraspråk",1-16-60
340,"Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 6, inom ramen för romani som andraspråk",1-16-60
341,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för romani som andraspråk",1-16-60
342,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.-Betygskriterier för slutet av årskurs 6, inom ramen för romani som andraspråk",1-16-60
343,"I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser-Betygskriterier för slutet av årskurs 6, inom ramen för romani som andraspråk",1-16-60
344,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 6, inom ramen för romani som andraspråk",1-16-60
345,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör romer.-Betygskriterier för slutet av årskurs 6, inom ramen för romani som andraspråk",1-16-60
346,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
347,"Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
348,"Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
349,"I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
350,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
351,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
352,"Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
353,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör romer.-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
354,"Eleven visar grundläggande kunskaper om romani chibs ursprung, utveckling och språkets ställning i Sverige.-Betygskriterier för slutet av årskurs 9, inom ramen för romani som andraspråk",1-16-61
355,Eleven musicerar och genomför sina sång- och spelstämmor med viss säkerhet,1-1-2
356,Dessutom anpassar eleven i huvudsak sitt musicerande till det musikaliska sammanhanget.,1-1-2
357,Genom musikaliskt skapande uttrycker eleven idéer och tankar på ett i huvudsak fungerande sätt,1-1-2
358,Eleven komponerar musikaliska uttryck som har en i huvudsak fungerande form.,1-1-2
359,Eleven urskiljer och ger med viss säkerhet exempel på instrument och musikaliska karaktärsdrag i olika typer av musik,1-1-2
360,"Dessutom uttrycker eleven viss förståelse för musikens innehåll, funktion och betydelse i något sammanhang.",1-1-2
361,Eleven musicerar och genomför sina sång- och spelstämmor med viss säkerhet-I årskurs 7–9,1-1-3
362,Dessutom anpassar eleven sitt musicerande i huvudsak till det musikaliska sammanhanget och musikens karaktär.,1-1-3
363,Genom musikaliskt skapande uttrycker eleven idéer och tankar på ett i huvudsak fungerande sätt-I årskurs 7–9,1-1-3
364,Eleven komponerar musik som har en i huvudsak fungerande form och karaktäristisk stil.,1-1-3
365,Eleven urskiljer och jämför musikaliska karaktärsdrag i musik från olika tidsperioder och genrer med viss säkerhet,1-1-3
366,"Dessutom uttrycker eleven viss förståelse för musikens innehåll, funktion och betydelse i olika sammanhang.",1-1-3
367,Eleven visar grundläggande kunskaper om religioner,1-1-2
368,Eleven för enkla resonemang om likheter och skillnader mellan och inom några religioner samt om vad religion kan betyda för människor.,1-1-2
369,Eleven visar grundläggande kunskaper om frågor som rör relationen mellan religion och samhälle.,1-1-2
370,Eleven för enkla resonemang om moraliska frågor och livsfrågor.,1-1-2
371,Eleven visar grundläggande kunskaper om religioner och andra livsåskådningar,1-1-3
372,Eleven för enkla resonemang om likheter och skillnader i centrala tankegångar och religiösa praktiker mellan och inom olika religioner samt om vad religion och livsåskådning kan betyda för människor.,1-1-3
373,Eleven för enkla resonemang om frågor som rör relationen mellan religion och samhälle.,1-1-3
374,"Eleven för enkla resonemang om etik, moraliska frågor och livsfrågor.",1-1-3
375,Eleven visar grundläggande kunskaper om demokrati och mänskliga rättigheter.,1-1-2
376,Eleven visar grundläggande kunskaper om förhållanden och strukturer i samhället,1-1-2
377,Eleven beskriver enkla samband inom olika samhällsstrukturer,1-1-2
378,Eleven för enkla resonemang om hur människor kan påverka och påverkas av förhållanden och strukturer i samhället.,1-1-2
379,Eleven för enkla resonemang om samhällsfrågor utifrån kunskaper om förhållanden och strukturer i samhället,1-1-2
380,Eleven granskar information och åsikter som rör samhällsfrågor i olika källor med enkla källkritiska argument.,1-1-2
381,Eleven visar grundläggande kunskaper om demokratiska värden och beslutsprocesser samt om mänskliga rättigheter,1-1-3
382,Eleven för enkla resonemang om olika frågor med koppling till demokratins möjligheter och utmaningar.,1-1-3
383,Eleven visar grundläggande kunskaper om förhållanden och strukturer i samhället-I årskurs 7–9,1-1-3
384,Eleven beskriver enkla samband inom och mellan olika samhällsstrukturer,1-1-3
385,Eleven för enkla resonemang om hur individer och grupper kan påverka och påverkas av förhållanden och strukturer i samhället.,1-1-3
386,Eleven för enkla resonemang om samhällsfrågor utifrån kunskaper om förhållanden och strukturer i samhället-I årskurs 7–9,1-1-3
387,Eleven granskar information och åsikter som rör samhällsfrågor i olika källor med enkla källkritiska argument.-I årskurs 7–9,1-1-3
388,Eleven formger och framställer på ett delvis genomarbetat sätt enkla slöjdföremål i olika material och med enkla hantverkstekniker,1-1-2
389,I slöjdarbetet använder eleven verktyg på ett säkert och i huvudsak fungerande sätt.,1-1-2
390,Utifrån syftet med slöjdarbetet och någon idé väljer eleven ett i huvudsak fungerande tillvägagångssätt,1-1-2
391,Under arbetsprocessen bidrar eleven till att formulera och välja handlingsalternativ.-I årskurs 4–6,1-1-2
392,Eleven beskriver på ett enkelt sätt arbetsprocessen och hur den har påverkat slöjdföremålets kvalitet.,1-1-2
393,Eleven formger och framställer slöjdföremål på ett delvis genomarbetat sätt,1-1-3
394,I slöjdarbetet använder eleven verktyg på ett säkert och i huvudsak fungerande sätt.-I årskurs 7–9,1-1-3
395,Eleven utvecklar i viss utsträckning idéer med utgångspunkt i inspirationskällor och prövar då hur material och hantverkstekniker kan kombineras med hänsyn till föremålens form och funktion,1-1-3
396,Utifrån syftet med slöjdarbetet väljer eleven ett i huvudsak fungerande tillvägagångssätt och ger enkla motiveringar till sina val,1-1-3
397,"Eleven för enkla resonemang om arbetsprocessen och resultatet samt hur det genomförda arbetet har påverkat kvaliteten, uttrycket och miljön",1-1-3
398,-I årskurs 7–9,1-1-3
399,"Eleven läser meningar i enkla, bekanta och elevnära texter genom att använda ljudningsstrategi och helordsläsning på ett delvis fungerande sätt",1-21-62
400,Eleven återger och kommenterar någon del av innehållet och visar begynnande läsförståelse,1-21-62
401,Med stöd av bilder eller frågor uppmärksammar eleven när det uppstår problem med läsningen av ord eller med förståelse av sammanhanget och prövar då att läsa om och korrigera sig själv,1-21-62
