id,central_requirement,foreign_id_grades
245,Eleven läser olika texter med flyt och visar grundläggande läsförståelse,1-13-82
246,Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.,1-13-82
247,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör sverigefinnar.",1-13-82
248,"Eleven visar grundläggande kunskaper om finskans ursprung, utveckling och språkets ställning i Sverige.",1-13-82
249,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen",1-13-83
250,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen",1-13-83
251,Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-13-83
252,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-13-83
253,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.,1-13-83
254,I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-13-83
255,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-13-83
256,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör sverigefinnar.",1-13-83
257,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen",1-13-84
258,Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen,1-13-84
259,Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-13-84
260,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-13-84
261,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.,1-13-84
262,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar",1-13-84
263,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-13-84
264,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör sverigefinnar.",1-13-84
265,"Eleven visar grundläggande kunskaper om finskans ursprung, utveckling och språkets ställning i Sverige.",1-13-84
266,Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen,1-14-91
267,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.",1-14-91
268,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-14-91
269,"Eleven följer grundläggande regler för stavning, meningsbyggnad och ordböjning med viss säkerhet.",1-14-91
270,Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse,1-14-91
271,Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.,1-14-91
272,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör judar.",1-14-91
273,Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna,1-14-92
274,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.",1-14-92
275,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-14-92
276,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.,1-14-92
277,Eleven läser olika texter med flyt och visar grundläggande läsförståelse,1-14-92
278,Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.,1-14-92
279,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör judar.",1-14-92
280,"Eleven visar grundläggande kunskaper om jiddischens ursprung, utveckling och språkets ställning i Sverige.",1-14-92
281,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen",1-14-93
282,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen",1-14-93
283,Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-14-93
284,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-14-93
285,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.,1-14-93
286,I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-14-93
287,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-14-93
288,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör judar.",1-14-93
289,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen",1-14-94
290,Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen,1-14-94
291,Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-14-94
292,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-14-94
293,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.,1-14-94
294,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar",1-14-94
295,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-14-94
296,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör judar.",1-14-94
297,"Eleven visar grundläggande kunskaper om jiddischens ursprung, utveckling och språkets ställning i Sverige.",1-14-94
298,Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen,1-15-101
299,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.",1-15-101
300,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-15-101
301,"Eleven följer grundläggande regler för stavning, meningsbyggnad och ordböjning med viss säkerhet.",1-15-101
302,Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse,1-15-101
303,Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.,1-15-101
304,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör tornedalingar och andra meänkielitalande.",1-15-101
305,Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna,1-15-102
306,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.",1-15-102
307,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-15-102
308,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.,1-15-102
309,Eleven läser olika texter med flyt och visar grundläggande läsförståelse,1-15-102
310,Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.,1-15-102
311,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör tornedalingar och andra meänkielitalande.",1-15-102
312,"Eleven visar grundläggande kunskaper om meänkielins ursprung, utveckling och språkets ställning i Sverige.",1-15-102
313,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen",1-15-103
314,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen",1-15-103
315,Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-15-103
316,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-15-103
317,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.,1-15-103
318,I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-15-103
319,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-15-103
320,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör tornedalingar och andra meänkielitalande.",1-15-103
321,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen",1-15-104
322,Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen,1-15-104
323,Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-15-104
324,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-15-104
325,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.,1-15-104
326,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar",1-15-104
327,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-15-104
328,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör tornedalingar och andra meänkielitalande.",1-15-104
329,"Eleven visar grundläggande kunskaper om meänkielins ursprung, utveckling och språkets ställning i Sverige.",1-15-104
330,Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen,1-16-111
331,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.",1-16-111
332,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-16-111
333,"Eleven följer grundläggande regler för stavning, meningsbyggnad och ordböjning med viss säkerhet.",1-16-111
334,Eleven läser olika texter med visst flyt och visar grundläggande läsförståelse,1-16-111
335,Eleven för enkla resonemang om tydligt framträdande budskap i olika texter.,1-16-111
336,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör romer.",1-16-111
337,Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna,1-16-112
338,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur, innehåll och viss anpassning till syfte, mottagare och sammanhang.",1-16-112
339,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-16-112
340,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.,1-16-112
341,Eleven läser olika texter med flyt och visar grundläggande läsförståelse,1-16-112
342,Dessutom tolkar och för eleven enkla resonemang om budskap i olika texter.,1-16-112
343,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör romer.",1-16-112
344,"Eleven visar grundläggande kunskaper om romani chibs ursprung, utveckling och språkets ställning i Sverige.",1-16-112
345,"Eleven lyssnar, och förstår vanliga ord och enkla fraser i tydligt talat, enkelt språk i långsamt tempo om vardagliga och välbekanta ämnen",1-16-113
346,"Eleven läser, och förstår vanliga ord och enkla fraser i korta, enkla texter om vardagliga och välbekanta ämnen",1-16-113
347,Eleven hittar enkel information i anvisade muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-16-113
348,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser,1-16-113
349,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med enstaka ord och fraser.,1-16-113
350,I interaktion uttrycker sig eleven enkelt och begripligt med enstaka ord och fraser,1-16-113
351,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-16-113
352,"Eleven ger enkla exempel på sociala, historiska och kulturella företeelser som berör romer.",1-16-113
353,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen",1-16-114
354,Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen,1-16-114
355,Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-16-114
356,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-16-114
357,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.,1-16-114
358,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar",1-16-114
359,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-16-114
360,"Eleven för enkla resonemang om företeelser, levnadsvillkor och samhällsfrågor som berör romer.",1-16-114
361,"Eleven visar grundläggande kunskaper om romani chibs ursprung, utveckling och språkets ställning i Sverige.",1-16-114
362,Eleven musicerar och genomför sina sång- och spelstämmor med viss säkerhet,1-17-118
363,Dessutom anpassar eleven i huvudsak sitt musicerande till det musikaliska sammanhanget.,1-17-118
364,Genom musikaliskt skapande uttrycker eleven idéer och tankar på ett i huvudsak fungerande sätt,1-17-118
365,Eleven komponerar musikaliska uttryck som har en i huvudsak fungerande form.,1-17-118
366,Eleven urskiljer och ger med viss säkerhet exempel på instrument och musikaliska karaktärsdrag i olika typer av musik,1-17-118
367,"Dessutom uttrycker eleven viss förståelse för musikens innehåll, funktion och betydelse i något sammanhang.",1-17-118
368,Eleven musicerar och genomför sina sång- och spelstämmor med viss säkerhet,1-17-119
369,Dessutom anpassar eleven sitt musicerande i huvudsak till det musikaliska sammanhanget och musikens karaktär.,1-17-119
370,Genom musikaliskt skapande uttrycker eleven idéer och tankar på ett i huvudsak fungerande sätt,1-17-119
371,Eleven komponerar musik som har en i huvudsak fungerande form och karaktäristisk stil.,1-17-119
372,Eleven urskiljer och jämför musikaliska karaktärsdrag i musik från olika tidsperioder och genrer med viss säkerhet,1-17-119
373,"Dessutom uttrycker eleven viss förståelse för musikens innehåll, funktion och betydelse i olika sammanhang.",1-17-119
374,"Eleven visar grundläggande kunskaper om geografiska och historiska förhållanden, samhällsförhållanden och religiösa traditioner",1-18-123
375,Eleven beskriver likheter och skillnader samt orsaker och konsekvenser i sammanhang som är relevanta för ämnena,1-18-123
376,Eleven samtalar om människors livsfrågor och levnadsvillkor samt om miljöfrågor och andra samhällsfrågor ur olika perspektiv.,1-18-123
377,"Eleven använder begrepp, metoder och verktyg från de samhällsorienterande ämnena.",1-18-123
378,Eleven visar grundläggande kunskaper om religioner,1-18-124
379,Eleven för enkla resonemang om likheter och skillnader mellan och inom några religioner samt om vad religion kan betyda för människor.,1-18-124
380,Eleven visar grundläggande kunskaper om frågor som rör relationen mellan religion och samhälle.,1-18-124
381,Eleven för enkla resonemang om moraliska frågor och livsfrågor.,1-18-124
382,Eleven visar grundläggande kunskaper om religioner och andra livsåskådningar,1-18-125
383,Eleven för enkla resonemang om likheter och skillnader i centrala tankegångar och religiösa praktiker mellan och inom olika religioner samt om vad religion och livsåskådning kan betyda för människor.,1-18-125
384,Eleven för enkla resonemang om frågor som rör relationen mellan religion och samhälle.,1-18-125
385,"Eleven för enkla resonemang om etik, moraliska frågor och livsfrågor.",1-18-125
386,"Eleven visar grundläggande kunskaper om geografiska och historiska förhållanden, samhällsförhållanden och religiösa traditioner",1-19-129
387,Eleven beskriver likheter och skillnader samt orsaker och konsekvenser i sammanhang som är relevanta för ämnena,1-19-129
388,Eleven samtalar om människors livsfrågor och levnadsvillkor samt om miljöfrågor och andra samhällsfrågor ur olika perspektiv.,1-19-129
389,"Eleven använder begrepp, metoder och verktyg från de samhällsorienterande ämnena.",1-19-129
390,Eleven visar grundläggande kunskaper om demokrati och mänskliga rättigheter.,1-19-130
391,Eleven visar grundläggande kunskaper om förhållanden och strukturer i samhället,1-19-130
392,Eleven beskriver enkla samband inom olika samhällsstrukturer,1-19-130
393,Eleven för enkla resonemang om hur människor kan påverka och påverkas av förhållanden och strukturer i samhället.,1-19-130
394,Eleven för enkla resonemang om samhällsfrågor utifrån kunskaper om förhållanden och strukturer i samhället,1-19-130
395,Eleven granskar information och åsikter som rör samhällsfrågor i olika källor med enkla källkritiska argument.,1-19-130
396,Eleven visar grundläggande kunskaper om demokratiska värden och beslutsprocesser samt om mänskliga rättigheter,1-19-131
397,Eleven för enkla resonemang om olika frågor med koppling till demokratins möjligheter och utmaningar.,1-19-131
398,Eleven visar grundläggande kunskaper om förhållanden och strukturer i samhället,1-19-131
399,Eleven beskriver enkla samband inom och mellan olika samhällsstrukturer,1-19-131
400,Eleven för enkla resonemang om hur individer och grupper kan påverka och påverkas av förhållanden och strukturer i samhället.,1-19-131
401,Eleven för enkla resonemang om samhällsfrågor utifrån kunskaper om förhållanden och strukturer i samhället,1-19-131
402,Eleven granskar information och åsikter som rör samhällsfrågor i olika källor med enkla källkritiska argument.,1-19-131
403,Eleven formger och framställer på ett delvis genomarbetat sätt enkla slöjdföremål i olika material och med enkla hantverkstekniker,1-20-135
404,I slöjdarbetet använder eleven verktyg på ett säkert och i huvudsak fungerande sätt.,1-20-135
405,Utifrån syftet med slöjdarbetet och någon idé väljer eleven ett i huvudsak fungerande tillvägagångssätt,1-20-135
406,Under arbetsprocessen bidrar eleven till att formulera och välja handlingsalternativ.,1-20-135
407,Eleven beskriver på ett enkelt sätt arbetsprocessen och hur den har påverkat slöjdföremålets kvalitet.,1-20-135
408,Eleven formger och framställer slöjdföremål på ett delvis genomarbetat sätt,1-20-136
409,I slöjdarbetet använder eleven verktyg på ett säkert och i huvudsak fungerande sätt.,1-20-136
410,Eleven utvecklar i viss utsträckning idéer med utgångspunkt i inspirationskällor och prövar då hur material och hantverkstekniker kan kombineras med hänsyn till föremålens form och funktion,1-20-136
411,Utifrån syftet med slöjdarbetet väljer eleven ett i huvudsak fungerande tillvägagångssätt och ger enkla motiveringar till sina val,1-20-136
412,Under arbetsprocessen bidrar eleven till att formulera och välja handlingsalternativ.,1-20-136
413,"Eleven för enkla resonemang om arbetsprocessen och resultatet samt hur det genomförda arbetet har påverkat kvaliteten, uttrycket och miljön",1-20-136
414,,1-20-136
415,"Eleven läser meningar i enkla, bekanta och elevnära texter genom att använda ljudningsstrategi och helordsläsning på ett delvis fungerande sätt",1-21-140
416,Eleven återger och kommenterar någon del av innehållet och visar begynnande läsförståelse,1-21-140
417,Med stöd av bilder eller frågor uppmärksammar eleven när det uppstår problem med läsningen av ord eller med förståelse av sammanhanget och prövar då att läsa om och korrigera sig själv,1-21-140
418,I samtal om texter som eleven lyssnat till för eleven enkla resonemang om texternas tydligt framträdande innehåll och jämför detta med egna erfarenheter.,1-21-140
419,"Eleven samtalar om elevnära frågor och ämnen och ställer frågor, ger kommentarer och framför egna åsikter",1-21-141
420,När eleven berättar om vardagliga händelser beskriver eleven dem så att innehållet tydligt framgår,1-21-141
421,Dessutom ger och tar eleven enkla muntliga instruktioner.,1-21-141
422,Eleven skriver enkla texter med läslig handstil och med digitala verktyg,1-21-141
423,"I texterna använder eleven stor bokstav, punkt och frågetecken samt kan stava ord som eleven själv ofta använder och som är vanligt förekommande i elevnära texter",1-21-141
424,"De berättande texter eleven skriver har tydlig inledning, handling och avslutning.",1-21-141
425,Eleven läser bekanta och elevnära texter med flyt genom att använda lässtrategier på ett i huvudsak fungerande sätt,1-21-141
426,Eleven kommenterar och återger delar av innehållet och visar grundläggande läsförståelse,1-21-141
427,Eleven för också enkla resonemang om tydligt framträdande budskap i texterna.,1-21-141
428,Eleven söker information ur någon anvisad källa och återger grundläggande delar av informationen i enkla faktatexter,1-21-141
429,Texterna innehåller egna formuleringar och grundläggande ämnesspecifika ord och begrepp som används så att innehållet klart framgår.,1-21-141
430,Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen,1-21-142
431,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare.",1-21-142
432,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-21-142
433,Eleven följer grundläggande regler för språkriktighet med viss säkerhet.,1-21-142
434,Eleven läser skönlitteratur och sakprosatexter för barn och ungdomar med flyt och visar grundläggande läsförståelse,1-21-142
435,Dessutom sammanfattar eleven olika texter med viss säkerhet,1-21-142
436,Eleven för också enkla resonemang om tydligt framträdande budskap i olika texter.,1-21-142
437,Eleven söker och väljer med viss säkerhet information från ett avgränsat urval av källor och presenterar informationen med egna formuleringar och ämnesspecifika ord och begrepp,1-21-142
438,Eleven för enkla resonemang om informationens användbarhet.,1-21-142
439,Eleven för utifrån givna exempel enkla resonemang om några aspekter av språk och språkbruk i Sverige och Norden.,1-21-142
440,Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna,1-21-143
441,Eleven framför åsikter med till viss del underbyggda argument,1-21-143
442,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur och innehåll och viss anpassning till syfte, mottagare och sammanhang.",1-21-143
443,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-21-143
444,Eleven följer språkliga normer på ett i huvudsak fungerande sätt.,1-21-143
445,Eleven läser skönlitteratur och sakprosatexter med flyt och visar grundläggande läsförståelse,1-21-143
446,Dessutom sammanfattar eleven olika texter med viss säkerhet,1-21-143
447,Eleven för enkla resonemang om innehållet i olika texter,1-21-143
448,Eleven visar också grundläggande kunskaper om skönlitteratur och de sammanhang som olika verk har tillkommit i.,1-21-143
449,"Eleven söker och väljer med viss säkerhet information från olika källor och presenterar informationen på ett i huvudsak fungerande sätt, med egna formuleringar, ämnesrelaterat språk samt citat och källhänvisningar",1-21-143
450,Eleven för till viss del underbyggda resonemang om informationens och källornas trovärdighet och relevans.,1-21-143
451,Eleven för utifrån givna exempel enkla resonemang om några aspekter av språk och språkbruk i Sverige och Norden.,1-21-143
452,"Eleven läser meningar i enkla, bekanta och elevnära texter genom att använda ljudningsstrategi och helordsläsning på ett delvis fungerande sätt",1-22-147
453,Eleven återger och kommenterar någon del av innehållet och visar begynnande läsförståelse,1-22-147
454,Med stöd av bilder eller frågor uppmärksammar eleven när det uppstår problem med läsningen av ord eller med förståelse av sammanhanget och prövar då att läsa om och korrigera sig själv,1-22-147
455,I samtal om texter som eleven lyssnat till för eleven enkla resonemang om texternas tydligt framträdande innehåll och jämför detta med egna erfarenheter.,1-22-147
456,Eleven visar ett grundläggande ordförråd i samtal om elevnära frågor och ämnen,1-22-148
457,"I samtalen ställer eleven frågor, ger kommentarer och framför egna åsikter",1-22-148
458,När eleven berättar om vardagliga händelser beskriver eleven dem så att det huvudsakliga innehållet framgår,1-22-148
459,Dessutom ger och tar eleven enkla muntliga instruktioner,1-22-148
460,Eleven uppmärksammar när språkliga missförstånd uppstår och ber då om förtydliganden.,1-22-148
461,Eleven skriver enkla texter med läslig handstil och med digitala verktyg,1-22-148
462,"I texterna använder eleven stor bokstav, punkt och frågetecken samt kan stava ord som eleven själv ofta använder och som är vanligt förekommande i elevnära texter",1-22-148
463,De berättande texter eleven skriver har en enkel röd tråd och i huvudsak fungerande handling.,1-22-148
464,Eleven läser bekanta och elevnära texter med flyt genom att använda lässtrategier på ett i huvudsak fungerande sätt,1-22-148
465,Eleven kommenterar och återger delar av innehållet och visar grundläggande läsförståelse,1-22-148
466,Eleven för också enkla resonemang om tydligt framträdande budskap i texterna.,1-22-148
467,Eleven söker information ur någon anvisad källa och återger grundläggande delar av informationen i enkla faktatexter,1-22-148
468,Texterna innehåller egna formuleringar och grundläggande ämnesspecifika ord och begrepp som används så att innehållet blir begripligt.,1-22-148
469,Eleven samtalar om bekanta ämnen på ett sätt som till viss del upprätthåller samtalen,1-22-149
470,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande inledning, innehåll och avslutning och viss anpassning till syfte och mottagare",1-22-149
471,Elevens muntliga kommunikation kan i olika grad innehålla andraspråksdrag beroende på den innehållsliga och tankemässiga komplexiteten.,1-22-149
472,"Eleven skriver olika slags texter med begripligt innehåll, i huvudsak fungerande struktur och viss språklig variation",1-22-149
473,Eleven följer grundläggande regler för språkriktighet på ett i huvudsak fungerande sätt,1-22-149
474,Elevens texter kan i olika grad innehålla andraspråksdrag beroende på den innehållsliga och tankemässiga komplexiteten.,1-22-149
475,Eleven läser skönlitteratur och sakprosatexter för barn och ungdomar med flyt och visar grundläggande läsförståelse,1-22-149
476,Dessutom sammanfattar eleven olika texter med viss säkerhet,1-22-149
477,Eleven för också enkla resonemang om tydligt framträdande budskap i olika texter.,1-22-149
478,Eleven söker och väljer med viss säkerhet information från ett avgränsat urval av källor och presenterar informationen med egna formuleringar och ämnesspecifika ord och begrepp,1-22-149
479,Eleven för enkla resonemang om informationens användbarhet.,1-22-149
480,Eleven samtalar om och diskuterar varierande ämnen på ett sätt som till viss del utvecklar samtalen och diskussionerna,1-22-150
481,Eleven framför åsikter med till viss del underbyggda argument,1-22-150
482,"Dessutom förbereder och genomför eleven muntliga framställningar med i huvudsak fungerande struktur och innehåll och viss anpassning till syfte, mottagare och sammanhang",1-22-150
483,Elevens muntliga kommunikation kan i olika grad innehålla andraspråksdrag beroende på den innehållsliga och tankemässiga komplexiteten.,1-22-150
484,"Eleven skriver olika slags texter med viss språklig variation, i huvudsak fungerande struktur och innehåll samt viss anpassning till texttyp, syfte, mottagare och sammanhang",1-22-150
485,Eleven följer språkliga normer på ett i huvudsak fungerande sätt,1-22-150
486,Elevens texter kan i olika grad innehålla andraspråksdrag beroende på den innehållsliga och tankemässiga komplexiteten.,1-22-150
487,Eleven läser skönlitteratur och sakprosatexter med flyt och visar grundläggande läsförståelse,1-22-150
488,Dessutom sammanfattar eleven olika texter med viss säkerhet,1-22-150
489,Eleven för enkla resonemang om innehållet i olika texter,1-22-150
490,Eleven visar också grundläggande kunskaper om skönlitteratur och de sammanhang som olika verk har tillkommit i.,1-22-150
491,"Eleven söker och väljer med viss säkerhet information från olika källor och presenterar informationen på ett i huvudsak fungerande sätt, med egna formuleringar, ämnesrelaterat språk samt citat och källhänvisningar",1-22-150
492,Eleven för till viss del underbyggda resonemang om informationens och källornas trovärdighet och relevans,1-22-150
493,,1-22-150
494,"Eleven förstår vanliga, enkla tecken och fraser i tydligt och enkelt teckenspråk i långsamt tempo om välbekanta ämnen.",1-23-154
495,I framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga tecken och fraser.,1-23-154
496,I interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga tecken och fraser,1-23-154
497,Dessutom använder eleven strategier som i någon mån underlättar interaktionen.,1-23-154
498,"Eleven kommenterar på ett mycket enkelt sätt, på teckenspråk, förhållanden i olika sammanhang där teckenspråk används.",1-23-154
499,"Eleven förstår enkel bokstavering, vanliga tecken och enkla fraser i tydligt och enkelt teckenspråk i långsamt tempo om vardagliga och välbekanta ämnen",1-23-155
500,"Eleven hittar enkel information i anvisade teckenspråkiga källor, samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.",1-23-155
501,"I framställningar av olika slag formulerar sig eleven enkelt och begripligt med bokstavering, enstaka tecken och fraser.",1-23-155
502,"I interaktion uttrycker sig eleven enkelt och begripligt med bokstavering, enstaka tecken och fraser",1-23-155
503,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-23-155
504,"Eleven kommenterar på ett mycket enkelt sätt, på teckenspråk, förhållanden i olika sammanhang där teckenspråk används.",1-23-155
505,"Eleven förstår vanliga, enkla tecken och fraser i tydligt och enkelt teckenspråk i långsamt tempo om välbekanta ämnen.",1-23-156
